Focus8 Data Dictionary,,,,,,,
,,,,,,,
Master Tables:,,,,,,,
Serial No,Object Name,Module,Objective,Document that updates the table,Linked Tables, Identity Field,Linked Field
1,mCore_Account,All-Masters,Account master information ,\Home\Masters\Account,Multiple Tables,iMasterId,iMasterId
2,mCore_Account_Props,All-Masters,Stores account specific properties information,\Home\Masters\Account->Select an Account and left click->select Properties,mCore_Account,iMasterId,iMasterId
3,mCore_AccountLanguage,All-Masters,,Use alterrnate language ->\Home\Master\Account->Alias ,mCore_Account,iLanguageId,iMasterId
4,mCore_AccountTree,All-Masters,Contains list of account tree defined ,\Home\Masters\Account->Tools->Customize Tree,"mCore_AccountTreeDetails
mCore_AccountTreeFields",itreeid,itreeid
5,mCore_AccountTreeDetails,All-Masters,"Details of tree like iTreeId,iMasterId,iParentId,iSequence,iLevel",\Home\Masters\Account->Tools->Customize Tree,mCore_AccountTree,itreeid,"itreeid,iMasterid"
6,mCore_AccountTreeFields,All-Masters,Lists the fields in tree,\Home\Masters\Account->Tools->Customize Tree,mCore_AccountTree,itreeid,itreeid
7,mCore_AcctBudget,All-Masters,Stores budget information specific to the account,\Home\Masters\Account->Tools->Select Account->Click Budget,mCore_Account,iAccId,iMasterId
8,mCore_AdvImportMapping,All-Masters,Import Mapping,\Home\Masters\Account->Tools->Select Account->Click Import/Export,None,iMapId,None
9,mCore_AdvImportMasterFieldsMapping,All-Masters,Import master field mapping ,\Home\Masters\Account->Tools->Select Account->Click Import/Export,mCore_AdvImportMapping,iMapId,iMapId
10,mCore_Alert,All-Masters,Alerts Header Data Table,"\Home\Settings\TransactionAuthorization->Alerts                                                                          \Home\Settings\MasterAuthorization->Alerts
",mCore_AlertDetails,iAlertId,iAlertId
11,mCore_AlertDetails,All-Masters,Alerts Body Data Table,"\Home\Settings\TransactionAuthorization->Alerts                                                                          \Home\Settings\MasterAuthorization->Alerts
",mCore_Alert ,iAlertId,iAlertId
12,mCore_Amortization,All-Masters,Amoritization Header data table,\Home\Settings\ConfigureTransactions\Preferences\Accounts\Depreciation&Amortization,mCore_AmortizationDetails,iAmortizationId,iAmortizationId
13,mCore_AmortizationDetails,All-Masters,Amoritization Body data table,\Home\Settings\ConfigureTransactions\Preferences\Accounts\Depreciation&Amortization,,,
14,mCore_AuthAllLevelsCheck_0,All-Masters,Stores completely authorized vouchers and master information ,For every user selected to authorize:Go to voucher/master screen->Authorize ,mCore_AuthorizationDetails_0,iAuthid,iAuthorizationDetailId
15,mCore_Authorization_0,All-Masters,Authorizations table,\Home\Settings\TransactionAuthorization                                                                          \Home\Settings\MasterAuthorization,mCore_AuthorizationAccountTypeDetails_0 mCore_AuthorizationDetails_0 cCore_vouchers_0(when iAuthorizationType = 2)    cCore_masterDef(When iAuthorizationType = 1)             ,iAuthorizationId,iAuthorizationId iMasterTypeId iVoucherType     
16,mCore_AuthorizationAccountTypeDetails_0,All-Masters,Authorization account type details,\Home\Settings\TransactionAuthorization                                                                          \Home\Settings\MasterAuthorization,,iAuthorizationId,iAuthorizationId
17,mCore_AuthorizationDetails_0,All-Masters,Detailed information of the declared authorizations,\Home\Settings\TransactionAuthorization                                                                          \Home\Settings\MasterAuthorization,"mCore_Authorization_0
mCore_AuthorizationEscalation_0
mCore_AuthorizationFilterCondition_0
mCore_AuthorizationUserSelection_0 tCore_MasterAuth               
tCore_TransAuth_0
",iAuthorizationDetailId,"iAuthorizationId
iAuthorizationDetailId
iAuthId
IAuthNodeId"
18,mCore_AuthorizationEscalation_0,All-Masters,Authorization Escalation Data,\Home\Settings\TransactionAuthorization->Escalation                                                                       \Home\Settings\MasterAuthorization->Escalation,mCore_AuthorizationDetails_0,iAuthorizationEscalationId,iAuthorizationDetailId
19,mCore_AuthorizationEscalationDetails_0,All-Masters,Authorization Escalation Data with respect to users,\Home\Settings\TransactionAuthorization->Escalation                                                                       \Home\Settings\MasterAuthorization->Escalation,mCore_AuthorizationEscalation_0,iAuthorizationEscalationId,iAuthorizationEscalationId
20,mCore_AuthorizationFilterCondition_0,All-Masters,Stores information of the filter condition related to authorization,\Home\Settings\TransactionAuthorization                                                                          \Home\Settings\MasterAuthorization,mCore_AuthorizationDetails_0,iAuthorizationDetailId,iAuthorizationDetailId
