"sCode","AdvRaw","AdvRoundT","AdvRoundType"
"AC-4447","22000.08","22000","22000"
"AC-5556","7918.99","7919","7919"
"AC-3070","8556.68","8557","8557"
"AC-1926","10844.26","10844","10844"
"AC-4669","5038.13","5038","5038"
"AC-5059","5719.72","5720","5720"
"AC-4924","3167.975","3168","3168"
"AC-1951","22000","22000","22000"
"AC-3810","11464.99","11465","11465"
"AC-6882","6800","6800","6800"
"AC-3832","12426.28","12426","12426"
"AC-6519","10287","10287","10287"
"AC-4109","8585","8585","8585"
"AC-5027","22083.9","22084","22084"
"AC-3567","4500","4500","4500"
"AC-4974","10500.82","10501","10501"
"AC-6038","3000","3000","3000"
"AC-4195","5196","5196","5196"
"AC-5028","8390","8390","8390"
"AC-3982","11241","11241","11241"
"AC-6025","8090","8090","8090"
"AC-3297","5294.4","5294","5294"
"AC-4891","41250.08","41250","41250"
"AC-2519","9172","9172","9172"
"AC-6275","10181.91","10182","10182"
"AC-2991","11201.46","11201","11202"
"AC-1425","4410.511","4411","4411"
"AC-5530","14102","14102","14102"
"AC-4196","5000","5000","5000"
"1801793","8999","8999","8999"
"AC-6380","10470","10470","10470"
"AC-5850","7596.935","7597","7597"
"AC-7558","7875.97","7876","7876"
"AC-5619","8020","8020","8020"
"AC-5528","20678.24","20678","20678"
"AC-3252","17300.06","17300","17300"
"AC-7821","1980","1980","1980"
"AC-5942","7850.35","7850","7850"
"AC-5877","11646.5","11647","11647"
"AC-3593","2600","2600","2600"
"AC-7446","8793.238","8793","8793"
"AC-5234","16417.28","16417","16417"
"AC-6884","5387.56","5388","5388"
"AC-3488","7673.2","7673","7673"
"1802137","8580","8580","8580"
"AC-5972","3341.8","3342","3342"
"AC-6698","14043.998","14044","14044"
"AC-6834","9069","9069","9069"
"AC-1936","8619.55","8620","8620"
"AC-2854","8344.77","8345","8345"
"AC-4451","27281.532","27282","27282"
"AC-5796","23128","23128","23128"
"AC-6693","8561.55","8562","8562"
"AC-7294","6200","6200","6200"
"1801798","6635","6635","6635"
"AC-5836","14667.226","14667","14667"
"AC-1681","7320.91","7321","7321"
"AC-6117","8594.16","8594","8594"
"AC-6039","8898.54","8899","8899"
"AC-6838","5678","5678","5678"
"AC-6553","6451.9","6452","6452"
"AC-3133","8949.234","8949","8949"
"AC-3803","6377","6377","6377"
"AC-7050","12792.825","12793","12793"
"AC-2669","11138","11138","11138"
"AC-4500","13923","13923","13923"
"AC-6707","1365.23","1365","1365"
"AC-3239","8816.48","8816","8816"
"AC-3946","4020.63","4021","4021"
"AC-4202","9071","9071","9071"
"AC-5212","11205","11205","11205"
"AC-4983","39611.95","39612","39612"
"AC-4751","3934","3934","3934"
"AC-2720","7242","7242","7242"
"AC-3947","8540.81","8541","8541"
"AC-1113","7371","7371","7371"
"AC-6169","10203.024","10203","10203"
"1801747","5500","5500","5500"
"AC-1886","7007.84","7008","7008"
"AC-5826","10600.084","10600","10600"
"AC-1291","10384","10384","10384"
"AC-4838","6467.702","6468","6468"
"1801312","40639.85","40640","40640"
"AC-8070","3600","3600","3600"
"AC-6898","3460","3460","3460"
"AC-6992","3342.33","3342","3342"
"AC-6145","8000","8000","8000"
"AC-3074","4310.05","4310","4310"
"AC-5598","12554.83","12555","12555"
"AC-2447","44352.41","44352","44352"
"AC-5180","9435.83","9436","9436"
"AC-7059","6158","6158","6158"
"AC-7208","6294.35","6294","6294"
"AC-5324","12190","12190","12190"
"AC-6631","8200","8200","8200"
"AC-5219","9212.87","9213","9213"
"AC-6927","20200","20200","20200"
"AC-7590","3700","3700","3700"
"AC-2577","3710","3710","3710"
"AC-5657","6688.95","6689","6689"
"AC-4970","14325.57","14326","14326"
"AC-3273","8465.81","8466","8466"
"AC-4933","4941.746","4942","4942"
"AC-5642","7446.32","7446","7446"
"AC-6993","5630","5630","5630"
"AC-4166","8641","8641","8641"
"AC-4710","17244.87","17245","17245"
"AC-6206","8600.198","8600","8600"
"AC-6842","8220","8220","8220"
"AC-3711","8063","8063","8063"
"AC-5997","5205.538","5206","5206"
"AC-6837","4929.6","4930","4930"
"AC-3450","7850","7850","7850"
"AC-6841","4610.632","4611","4611"
"AC-4951","23538.78","23539","23539"
"AC-5063","24055.8","24056","24056"
"1801192","19180","19180","19180"
"AC-5408","4135.25","4135","4135"
"AC-4204","4908","4908","4908"
"AC-4896","7622.88","7623","7623"
"AC-6183","7282.6","7283","7283"
"AC-3862","7247.952","7248","7248"
"AC-6221","5062.83","5063","5063"
"AC-2296","5000","5000","5000"
"AC-3906","10324.37","10324","10324"
"AC-7356","4864.77","4865","4865"
"AC-5213","8976.59","8977","8977"
"AC-2285","6817.14","6817","6817"
"AC-6542","14140","14140","14140"
"AC-3300","9224.46","9224","9224"
"AC-6596","6757.37","6757","6757"
"AC-4108","3000","3000","3000"
"AC-6061","26899.94","26900","26900"
"AC-4150","12351.06","12351","12351"
"AC-4903","11447.43","11447","11447"
"AC-3758","17184.618","17185","17185"
"AC-4203","4880","4880","4880"
"AC-6333","15193","15193","15193"
"AC-4937","14704.2","14704","14704"
"AC-2485","17475","17475","17475"
"AC-2570","4549.89","4550","4550"
"AC-6389","13642.98","13643","13643"
"AC-2762","8977.52","8978","8978"
"AC-6813","4525","4525","4525"
"AC-2501","10053.48","10053","10053"
"AC-5185","6625.621","6626","6626"
"AC-6104","7492.7","7493","7493"
"AC-5760","5987","5987","5987"
"AC-2048","9851.37","9851","9851"
"AC-2488","9539.749","9540","9540"
"AC-3317","11000","11000","11000"
"AC-6589","5520.23","5520","5520"
"AC-4567","9955.805","9956","9956"
"AC-2979","12030.064","12030","12030"
"AC-5890","5251","5251","5251"
"AC-6337","7600","7600","7600"
"AC-6859","3822.37","3822","3822"
"AC-5395","7616.2","7616","7616"
"AC-3978","8549.86","8550","8550"
"AC-506","1358.69","1359","1359"
"AC-2333","6100.492","6100","6100"
"AC-5983","3722.975","3723","3723"
"AC-4006","18117.218","18117","18117"
"AC-4027","6009.21","6009","6009"
"AC-4448","8603.52","8604","8604"
"AC-4033","6173.56","6174","6174"
"AC-5996","600","600","600"
"AC-3733","15718.127","15718","15718"
"AC-5913","10166","10166","10166"
"AC-3078","8082.78","8083","8083"
"AC-7071","3004.75","3005","3005"
"AC-4267","10484.197","10484","10484"
"1801573","4383.918","4384","4384"
"1802452","2550","2550","2550"
"1801786","7330","7330","7330"
"AC-6826","17770.664","17771","17771"
"AC-7377","13800.23","13800","13800"
"AC-6199","5960.5","5961","5961"
"AC-5060","6000","6000","6000"
"AC-4007","15653.6","15654","15654"
"AC-5921","4585.545","4586","4586"
"AC-4943","16687","16687","16687"
"AC-3373","13182","13182","13182"
"AC-3018","21389.512","21390","21390"
"AC-4444","6472.64","6473","6473"
"AC-5697","5861.71","5862","5862"
"AC-4810","7706.66","7707","7707"
"AC-5070","13889.6","13890","13890"
"AC-6994","9625","9625","9625"
"AC-7056","4345","4345","4345"
"AC-3638","6723.78","6724","6724"
"AC-1131","5762.31","5762","5762"
"AC-6276","8536.22","8536","8536"
"AC-3398","11338.78","11339","11339"
"1801721","7273.65","7274","7274"
"AC-6125","17368.815","17369","17369"
"AC-7123","12057.361","12057","12057"
"AC-5082","4095","4095","4095"
"AC-847","8213.46","8213","8213"
"AC-6467","9417.5","9418","9418"
"AC-3647","8196.76","8197","8197"
"AC-4115","9030.01","9030","9030"
"AC-4004","8880.28","8880","8881"
"AC-6218","6853.02","6853","6853"
