"sCode","ContractRaw","ContractRound","AdvRaw","AdvCube"
"AC-4447","22000.14","22000","22000.08","22000"
"AC-5556","7918.975","7919","7918.99","7919"
"AC-3070","8810.606","8811","8556.68","8557"
"AC-1926","40658.04","40658","10844.26","10844"
"AC-4669","4978.13","4978","5038.13","5038"
"AC-5059","5719.81","5720","5719.72","5720"
"AC-4924","3167.97","3168","3167.975","3168"
"AC-1951","21999.74","22000","22000","22000"
"AC-3810","11344.98","11345","11464.99","11465"
"AC-6882","6777.182","6777","6800","6800"
"AC-3832","12426.435","12426","12426.28","12426"
"AC-6519","10286.79","10287","10287","10287"
"AC-4109","9585.96","9586","8585","8585"
"AC-5027","25268.08","25268","22083.9","22084"
"AC-3567","10076.46","10076","4500","4500"
"AC-4974","10500.815","10501","10500.82","10501"
"AC-6038","8917.17","8917","3000","3000"
"AC-4195","5196.38","5196","5196","5196"
"AC-5028","8390.02","8390","8390","8390"
"AC-3982","11244.355","11244","11241","11241"
"AC-6025","8090.01","8090","8090","8090"
"AC-3297","5425.39","5425","5294.4","5294"
"AC-4891","18009.42","18009","41250.08","41250"
"AC-2519","10860.25","10860","9172","9172"
"AC-6275","10181.895","10182","10181.91","10182"
"AC-2991","11201.46","11201","11201.46","11202"
"AC-1425","3413.22","3413","4410.511","4411"
"AC-5530","14072.94","14073","14102","14102"
"AC-4196","5800","5800","5000","5000"
"1801793","7458.29","7458","8999","8999"
"AC-6380","12766.63","12767","10470","10470"
"AC-5850","7596.934","7597","7596.935","7597"
"AC-7558","7875.99","7876","7875.97","7876"
"AC-5619","7870.11","7870","8020","8020"
"AC-5528","38579.295","38579","20678.24","20678"
"AC-3252","17171.725","17172","17300.06","17300"
"AC-7821","3408.65","3409","1980","1980"
"AC-5942","7850.33","7850","7850.35","7850"
"AC-5877","11646.62","11647","11646.5","11647"
"AC-3593","7004.48","7004","2600","2600"
"AC-7446","8792.79","8793","8793.238","8793"
"AC-5234","16747.28","16747","16417.28","16417"
"AC-6884","5387.555","5388","5387.56","5388"
"AC-3488","7673.2","7673","7673.2","7673"
"1802137","0","0","8580","8580"
"AC-5972","3341.8","3342","3341.8","3342"
"AC-6698","14044.055","14044","14043.998","14044"
"AC-6834","9016.605","9017","9069","9069"
"AC-1936","8012.59","8013","8619.55","8620"
"AC-2854","8344.765","8345","8344.77","8345"
"AC-4451","27280.662","27281","27281.532","27282"
"AC-5796","23128.3","23128","23128","23128"
"AC-6693","8561.55","8562","8561.55","8562"
"AC-7294","6326.84","6327","6200","6200"
"1801798","4196.52","4197","6635","6635"
"AC-5836","14667.23","14667","14667.226","14667"
"AC-1681","7320.91","7321","7320.91","7321"
"AC-6117","8608.38","8608","8594.16","8594"
"AC-6039","8390.78","8391","8898.54","8899"
"AC-6838","5748.87","5749","5678","5678"
"AC-6553","6451.9","6452","6451.9","6452"
"AC-3133","8857.549","8858","8949.234","8949"
"AC-3803","7927.58","7928","6377","6377"
"AC-7050","12792.825","12793","12792.825","12793"
"AC-2669","11138.06","11138","11138","11138"
"AC-4500","13923.23","13923","13923","13923"
"AC-6707","1365.23","1365","1365.23","1365"
"AC-3239","8816.48","8816","8816.48","8816"
"AC-3946","4020.63","4021","4020.63","4021"
"AC-4202","8965.415","8965","9071","9071"
"AC-5212","11098.307","11098","11205","11205"
"AC-4983","43921.416","43921","39611.95","39612"
"AC-4751","3934.73","3935","3934","3934"
"AC-2720","7242.12","7242","7242","7242"
"AC-3947","8540.879","8541","8540.81","8541"
"AC-1113","7371.28","7371","7371","7371"
"AC-6169","10202.65","10203","10203.024","10203"
"1801747","1953.14","1953","5500","5500"
"AC-1886","7273.48","7273","7007.84","7008"
"AC-5826","10598.35","10598","10600.084","10600"
"AC-1291","10383.27","10383","10384","10384"
"AC-4838","6467.705","6468","6467.702","6468"
"1801312","81900","81900","40639.85","40640"
"AC-8070","3598.83","3599","3600","3600"
"AC-6898","3109.12","3109","3460","3460"
"AC-6992","3342.33","3342","3342.33","3342"
"AC-6145","16001.94","16002","8000","8000"
"AC-3074","4312.95","4313","4310.05","4310"
"AC-5598","12561.03","12561","12554.83","12555"
"AC-2447","42954.673","42955","44352.41","44352"
"AC-5180","10002.383","10002","9435.83","9436"
"AC-7059","6158.38","6158","6158","6158"
"AC-7208","7294.345","7294","6294.35","6294"
"AC-5324","12370.23","12370","12190","12190"
"AC-6631","21509.845","21510","8200","8200"
"AC-5219","9901.87","9902","9212.87","9213"
"AC-6927","20200.965","20201","20200","20200"
"AC-7590","3664.92","3665","3700","3700"
"AC-2577","5047.36","5047","3710","3710"
"AC-5657","7254.975","7255","6688.95","6689"
"AC-4970","14325.58","14326","14325.57","14326"
"AC-3273","8465.81","8466","8465.81","8466"
"AC-4933","4941.7","4942","4941.746","4942"
"AC-5642","7446.308","7446","7446.32","7446"
"AC-6993","5701.27","5701","5630","5630"
"AC-4166","8464.906","8465","8641","8641"
"AC-4710","17105.81","17106","17244.87","17245"
"AC-6206","8600.16","8600","8600.198","8600"
"AC-6842","8219.69","8220","8220","8220"
"AC-3711","8063","8063","8063","8063"
"AC-5997","5205.54","5206","5205.538","5206"
"AC-6837","4929.632","4930","4929.6","4930"
"AC-3450","7737.14","7737","7850","7850"
"AC-6841","4610.63","4611","4610.632","4611"
"AC-4951","22745.53","22746","23538.78","23539"
"AC-5063","23792.78","23793","24055.8","24056"
"1801192","21684.19","21684","19180","19180"
"AC-5408","4135.26","4135","4135.25","4135"
"AC-4204","4908.21","4908","4908","4908"
"AC-4896","8222.882","8223","7622.88","7623"
"AC-6183","7282.61","7283","7282.6","7283"
"AC-3862","7342.96","7343","7247.952","7248"
"AC-6221","5171.9","5172","5062.83","5063"
"AC-2296","6678.12","6678","5000","5000"
"AC-3906","10324.355","10324","10324.37","10324"
"AC-7356","4864.77","4865","4864.77","4865"
"AC-5213","8976.59","8977","8976.59","8977"
"AC-2285","7063.44","7063","6817.14","6817"
"AC-6542","15347.98","15348","14140","14140"
"AC-3300","9051.09","9051","9224.46","9224"
"AC-6596","6757.37","6757","6757.37","6757"
"AC-4108","5967.23","5967","3000","3000"
"AC-6061","26899.935","26900","26899.94","26900"
"AC-4150","12351.035","12351","12351.06","12351"
"AC-4903","11527.42","11527","11447.43","11447"
"AC-3758","16884.59","16885","17184.618","17185"
"AC-4203","4880.09","4880","4880","4880"
"AC-6333","15192.69","15193","15193","15193"
"AC-4937","17368.395","17368","14704.2","14704"
"AC-2485","17488.38","17488","17475","17475"
"AC-2570","4549.95","4550","4549.89","4550"
"AC-6389","13642.57","13643","13642.98","13643"
"AC-2762","8577.47","8577","8977.52","8978"
"AC-6813","4512.22","4512","4525","4525"
"AC-2501","9570.67","9571","10053.48","10053"
"AC-5185","6527.62","6528","6625.621","6626"
"AC-6104","7492.7","7493","7492.7","7493"
"AC-5760","6013.63","6014","5987","5987"
"AC-2048","8471.34","8471","9851.37","9851"
"AC-2488","8418.42","8418","9539.749","9540"
"AC-3317","14088.205","14088","11000","11000"
"AC-6589","5520.23","5520","5520.23","5520"
"AC-4567","9955.805","9956","9955.805","9956"
"AC-2979","12030.05","12030","12030.064","12030"
"AC-5890","5251.13","5251","5251","5251"
"AC-6337","7599.56","7600","7600","7600"
"AC-6859","3822.37","3822","3822.37","3822"
"AC-5395","7806.125","7806","7616.2","7616"
"AC-3978","8549.856","8550","8549.86","8550"
"AC-506","1515.94","1516","1358.69","1359"
"AC-2333","6101.75","6102","6100.492","6100"
"AC-5983","3722.95","3723","3722.975","3723"
"AC-4006","18117.524","18118","18117.218","18117"
"AC-4027","6009.208","6009","6009.21","6009"
"AC-4448","8603.51","8604","8603.52","8604"
"AC-4033","6173.56","6174","6173.56","6174"
"AC-5996","1000","1000","600","600"
"AC-3733","15688.045","15688","15718.127","15718"
"AC-5913","10166.01","10166","10166","10166"
"AC-3078","8087.77","8088","8082.78","8083"
"AC-7071","3004.74","3005","3004.75","3005"
"AC-4267","10860.635","10861","10484.197","10484"
"1801573","0","0","4383.918","4384"
"1802452","0","0","2550","2550"
"1801786","1213.52","1214","7330","7330"
"AC-6826","17688.04","17688","17770.664","17771"
"AC-7377","14800.23","14800","13800.23","13800"
"AC-6199","5960.49","5960","5960.5","5961"
"AC-5060","7585.69","7586","6000","6000"
"AC-4007","15357.089","15357","15653.6","15654"
"AC-5921","4585.55","4586","4585.545","4586"
"AC-4943","16686.28","16686","16687","16687"
"AC-3373","11018.55","11019","13182","13182"
"AC-3018","22764.675","22765","21389.512","21390"
"AC-4444","6472.64","6473","6472.64","6473"
"AC-5697","5824.18","5824","5861.71","5862"
"AC-4810","7706.66","7707","7706.66","7707"
"AC-5070","13804.242","13804","13889.6","13890"
"AC-6994","9625.33","9625","9625","9625"
"AC-7056","4345.12","4345","4345","4345"
"AC-3638","6737.19","6737","6723.78","6724"
"AC-1131","9587.34","9587","5762.31","5762"
"AC-6276","8530.61","8531","8536.22","8536"
"AC-3398","11274.24","11274","11338.78","11339"
"1801721","7273.88","7274","7273.65","7274"
"AC-6125","17361.17","17361","17368.815","17369"
"AC-7123","13057.33","13057","12057.361","12057"
"AC-5082","4095.05","4095","4095","4095"
"AC-847","7532.53","7533","8213.46","8213"
"AC-6467","9417.5","9418","9417.5","9418"
"AC-3647","8147.855","8148","8196.76","8197"
"AC-4115","9030.004","9030","9030.01","9030"
"AC-4004","8520.94","8521","8880.28","8880"
"AC-6218","6853.03","6853","6853.02","6853"
"AC-4655","11957.527","11958","11957.55","11958"
"AC-4429","8329.84","8330","8329.85","8330"
"AC-6584","3717.95","3718","3717.944","3718"
"AC-6588","4704.72","4705","4704.72","4705"
"AC-6204","11400.54","11401","5700.27","5700"
"1801794","0","0","7876.93","7877"
"AC-6734","8744.91","8745","8850.4","8850"
"AC-6910","5137.4","5137","5137.4","5137"
"AC-4516","7944.65","7945","7944.65","7945"
"AC-4049","5937.2","5937","5988.3","5988"
"AC-2246","10057.96","10058","9157.97","9158"
"AC-4427","29382.482","29382","28042.659","28043"
"AC-5592","6106.35","6106","6106.35","6106"
"AC-5904","31121.98","31122","30841.98","30842"
"AC-6675","5593.64","5594","5593.64","5594"
"AC-2391","464.48","464","3048.89","3049"
"AC-3753","26842.36","26842","26990","26990"
"AC-1163","4473.28","4473","4473.28","4473"
"AC-1496","205.07","205","0","0"
